PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize,IsAlone,Title
1,0,3,male,22,1,0,7.25,S,2,0,Mr
2,1,1,female,38,1,0,71.2833,C,2,0,Mrs
3,1,3,female,26,0,0,7.925,S,1,1,Miss
4,1,1,female,35,1,0,53.1,S,2,0,Mrs
5,0,3,male,35,0,0,8.05,S,1,1,Mr
6,0,3,male,43,0,0,8.4583,Q,1,1,Mr
7,0,1,male,54,0,0,51.8625,S,1,1,Mr
8,0,3,male,2,3,1,21.075,S,5,0,Master
9,1,3,female,27,0,2,11.1333,S,3,0,Mrs
10,1,2,female,14,1,0,30.0708,C,2,0,Mrs
11,1,3,female,4,1,1,16.7,S,3,0,Miss
12,1,1,female,58,0,0,26.55,S,1,1,Miss
13,0,3,male,20,0,0,8.05,S,1,1,Mr
14,0,3,male,39,1,5,31.275,S,7,0,Mr
15,0,3,female,14,0,0,7.8542,S,1,1,Miss
16,1,2,female,55,0,0,16.0,S,1,1,Mrs
17,0,3,male,2,4,1,29.125,Q,6,0,Master
18,1,2,male,25,0,0,13.0,S,1,1,Mr
19,0,3,female,31,1,0,18.0,S,2,0,Mrs
20,1,3,female,29,0,0,7.225,C,1,1,Mrs
21,0,2,male,35,0,0,26.0,S,1,1,Mr
22,1,2,male,34,0,0,13.0,S,1,1,Mr
23,1,3,female,15,0,0,8.0292,Q,1,1,Miss
24,1,1,male,28,0,0,35.5,S,1,1,Mr
25,0,3,female,8,3,1,21.075,S,5,0,Miss
26,1,3,female,38,1,5,31.3875,S,7,0,Mrs
27,0,3,male,21,0,0,7.225,C,1,1,Mr
28,0,1,male,19,3,2,263.0,S,6,0,Mr
29,1,3,female,24,0,0,7.8792,Q,1,1,Miss
30,0,3,male,19,0,0,7.8958,S,1,1,Mr
31,0,1,male,40,0,0,27.7208,C,1,1,Rare
32,1,1,female,19,1,0,146.5208,C,2,0,Mrs
33,1,3,female,36,0,0,7.75,Q,1,1,Miss
34,0,2,male,66,0,0,10.5,S,1,1,Mr
35,0,1,male,28,1,0,82.1708,C,2,0,Mr
36,0,1,male,42,1,0,52.0,S,2,0,Mr
37,1,3,male,22,0,0,7.2292,C,1,1,Mr
38,0,3,male,21,0,0,8.05,S,1,1,Mr
39,0,3,female,18,2,0,18.0,S,3,0,Miss
40,1,3,female,14,1,0,11.2417,C,2,0,Miss
41,0,3,female,40,1,0,9.475,S,2,0,Mrs
42,0,2,female,27,1,0,21.0,S,2,0,Mrs
43,0,3,male,38,0,0,7.8958,C,1,1,Mr
44,1,2,female,3,1,2,41.5792,C,4,0,Miss
45,1,3,female,19,0,0,7.8792,Q,1,1,Miss
46,0,3,male,23,0,0,8.05,S,1,1,Mr
47,0,3,male,18,1,0,15.5,Q,2,0,Mr
48,1,3,female,24,0,0,7.75,Q,1,1,Miss
49,0,3,male,43,2,0,21.6792,C,3,0,Mr
50,0,3,female,18,1,0,17.8,S,2,0,Mrs
51,0,3,male,7,4,1,39.6875,S,6,0,Master
52,0,3,male,21,0,0,7.8,S,1,1,Mr
53,1,1,female,49,1,0,76.7292,C,2,0,Mrs
54,1,2,female,29,1,0,26.0,S,2,0,Mrs
55,0,1,male,65,0,1,61.9792,C,2,0,Mr
56,1,1,male,21,0,0,35.5,S,1,1,Mr
57,1,2,female,21,0,0,10.5,S,1,1,Miss
58,0,3,male,28,0,0,7.2292,C,1,1,Mr
59,1,2,female,5,1,2,27.75,S,4,0,Miss
60,0,3,male,11,5,2,46.9,S,8,0,Master
61,0,3,male,22,0,0,7.2292,C,1,1,Mr
62,1,1,female,38,0,0,80.0,S,1,1,Miss
63,0,1,male,45,1,0,83.475,S,2,0,Mr
64,0,3,male,4,3,2,27.9,S,6,0,Master
65,0,1,male,17,0,0,27.7208,C,1,1,Mr
66,1,3,male,34,1,1,15.2458,C,3,0,Master
67,1,2,female,29,0,0,10.5,S,1,1,Mrs
68,0,3,male,19,0,0,8.1583,S,1,1,Mr
69,1,3,female,17,4,2,7.925,S,7,0,Miss
70,0,3,male,26,2,0,8.6625,S,3,0,Mr
71,0,2,male,32,0,0,10.5,S,1,1,Mr
72,0,3,female,16,5,2,46.9,S,8,0,Miss
73,0,2,male,21,0,0,73.5,S,1,1,Mr
